review_id,clause_id,review_clauses,expert_labels
11502,313,very self centered.,4
14803,300,only hard problem sets which are nearly impossible without practice and a big eraser.,3
14667,20,i learned a lot but be ready for his finals.,3
19421,187,but personally i like ms [instructor] at [institution] better.,4
3121,247,take this for a solid base then tribe for advanced con law.,14
13244,96,very challenging in a good sense and very thought provoking!,13
2161,137,was never available or helpful.,14
10736,31,has a great sense of humor!,4
13387,13,labs are easy and exams are easy if you study,3
17849,294,he does not weed out the important information.,1
13010,104,havent taken the final yet.,4
10736,28,his class isn't easy but you learn a bunch.,13
14803,299,he never gives easy homework problems to practice with.,3
4744,114,i had her for newswriting and she is very unclear and tests are over too much information to even study for.,13
2110,227,boring boring boring,4
5933,126,nearly blind and deaf talks too quietly to be heard beyond the second row sometimes even the first.,41
11262,69,he rambles a little,4
12438,374,the quizzes though are very hard unless you spend a lot of time studying.,3
14175,161,i never did the homework just sort of paid a little bit of attention and did fine.,32
817,229,he's old fashioned but usually in a charming way and will not teach you 'current' hebrew.,4
532,37,you.,4
2501,343,took web class... great teacher and awesome class!,14
10253,352,i had only two days,4
2501,348,only test is final multiple choice at home.,3
13964,258,lab counts as a test grade too,2
9276,204,his tests are totally from the notes.,3
13964,255,there's many old exams floating around which aids studying.,3
4744,117,i do not recommend this teacher if you're truly interested in news writing and enhancing your skills.,1
15314,65,great teacher also does not put up with class noise which is awesome!,124
19526,312,but if it's fast... then laugh like you misunderstood her standoffishness and shes really,4
19526,309,she acts like questions take up her time why are you teaching?.,41
817,230,the textbook is fantastic ha'yesod even though he jumps around in it.,1
13964,257,[instructor] passed me with a d after i averaged a 45.5 percent with the final.,2
17849,292,he will tell you in a million words what could take 5 seconds on a board.,1
532,38,must. read.,4
7111,290,i wish he taught the next course of math i have to take.,1
4462,248,love love love doctor [instructor] as a teacher.,1
1150,33,[instructor]'s lectures are scattered and his explanations of concepts are very vague.,1
1043,361,his lectures are great.,1
15652,372,highly reccomended!!,4
6341,80,he writes comments on papers that are hard to read but he is pretty clear in his office hours and class time about what is expected.,21
4462,250,she is very well organized with class content there is no way to mess anything up or not to understand what is expected.,1
2062,272,i am a cis major and im telling anyone who is considering taking [instructor]... dont do it!,1
9276,203,doctor [instructor] is very nice.,4
5711,225,he is an incredible individual and my favorite at [institution]!,4
9818,143,i have had her for three classes and all three she has been a wonderful professor.,1
18596,72,very sarcastic rude and mean in her comments on work submitted!,1
4389,264,she is a good teacher and knows what she is talking about.,1
17265,60,but i get c on his class.,4
3843,170,great,4
12953,75,liked her a lot.,4
15381,7,his tests were not hard at all.,3
11502,316,has a god complex so don't get on his bad side.,4
6518,383,i never went and got an a.,3
7373,167,he is fun and makes sure to include the class in discussions lectures.,1
8880,355,he was a caring and a great professor.,4
13010,102,study his notes and read the sections he assigns in the book!,12
13214,84,it's hard to pin down exactly how she wants you to answer questions in the essay,12
13054,326,omg avoid him he is horrible you can't understand him everything he teaches you is pointless and doesn't help one bit for the entire course.,4
7373,168,his teaching style might make it hard for a student who is not interested in physics.,13
11502,314,very egotistical.,4
2062,273,you will fail!,4
13411,90,very mean and very rude.,4
15462,236,love him.,4
13411,91,tests are hardest!!,3
13964,262,i was a senior and went to talk to her though.??,4
817,232,but he ain't too bad either.,4
12708,156,the map exam is easy the other 2,3
13411,88,she expects everyone to know everything.,1
307,318,pharmacy majors!,4
9276,207,go for posey!,4
1179,134,his awesome haircut and wonderful ways with words kept me entertained allll semester long.,4
7170,212,well mr [instructor] teaches the class better than the little cds on the computer in [institution].,1
18974,337,also if you are into meditating this is your class weird,4
6341,78,he is actually the best professor i have had in my total education career.,4
6358,219,read the instructions and do exactly what he is asking for and it is an easy a.,12
5933,127,regularly 10 minutes late to class tries to make up for it at the end.,4
9628,240,passionate teacher just pay attention in class take notes,13
17265,61,i advice him if you want to learn how to write essays.,4
3250,15,she takes herself too seriously.,4
12708,158,just know the stuff he assigned for the particular day.,3
2501,346,very self paced.,1
10736,30,really helpful when you ask him questions in and out of class.,1
19070,275,but she helped everything to be so simple and clear.,1
19231,385,he is very easy to talk to and even though he does not have a lot of extra time to spare if you need help he will find time for you always.,1
18974,338,i know.,4
13010,103,i got an 84 on the first test and a 96 on the second.,2
10736,27,great professor!,4
8096,165,if all the class fails oh well,4
7091,221,she is a very good teacher.,1
5711,226,take him!!,4
19070,278,totally recommended for those who hate math and want a good teacher.,1
8880,356,this professor went beyond the call of duty and gave us extra credit different test methods and was a professor who had great clarity and great knowledge of what he was teaching.,12
10253,353,and i had to contend with a physics write up as well.,4
9628,241,do the critical assignments,23
4747,24,her grading system is harsh as she grades people as though they are professionals.,2
16473,279,honestly she is the worst teacher i have ever had.,4
2501,344,homework super easy straight from book and a few journals and discussion boards.,3
8439,188,he records his lectures and puts them online the labs are not graded you get the tests and quizzes beforehand he even encrourages you to work with others on them and then you post your answers online d2l.,1
15652,367,took him both semesters!,4
14175,162,the tests are exactly like the online review she puts up except that the numbers are different.,3
6967,152,he doesnt not teach at all all he does is give speeches,1
2079,47,i got a b!!!,2
9491,111,she is totally unhelpful and snaps at you when you ask for help instead of answering your questions.,1
18278,120,i can't stress how much information i retained after taking this class.,1
7373,169,taking ap physics makes this extremely easy.,3
532,39,the. assigned.,4
10802,173,i have never devoted so much time and thought to a course in my life.,3
551,358,he's really smart and a good teacher.,14
10515,269,he doesnt explain anything... he isn't a very good teacher,1
3365,201,terrible teacher and class.,14
18974,339,lectures are on the internet,3
2626,62,the most helpful considerate and informative professor here at [institution].,1
13964,256,her exams are not difficult per se but one must prepare a lot buy keeping up with trying problems over and over.,3
5969,243,i had never gotten higher than a c in highschool i got a b in his class!!!,2
18974,336,her class is so easy that it's boring.,3
13244,97,[profanity],4
19941,174,midterm final and paper.,3
1150,34,i did not know what developmental sociology was until our teaching assistant explained it halfway through the semester.,1
2079,51,just be sure to do homework and ask questions if you need help.,3
8840,308,his explanations in class are often garbage so you will need often learn things on your own outside of class.,31
12759,138,every person should take her women's studies course....,4
13214,86,lovely woman!,4
2626,63,i had him for 2 years and wish i was still in his class.,4
15381,8,plus he was very easy going and listened to any concerns you had.,1
8097,194,overall easy class to pass worth putting up with [instructor]'s strangeness.,43
13411,92,don't take her.,4
9276,205,if you study your ass off from those you will pass.,3
13010,99,he's not bad at all.,4
307,320,take somebody else,4
11262,70,but otherwise he's a great guy,4
6358,218,but he was still very helpful.,1
19421,186,good teacher,1
17849,291,doctor [instructor] is a horrible professor.,1
18982,379,tests are exactly like those reviews.,3
15381,6,the class is very easy if you actually go to all of the lectures and pay attention.,23
13411,95,but she gives a big project that didn't mean a lot.,31
2501,349,can tell he really enjoys what he teaches.,14
4462,252,wish i had her for undergrad classes,1
2062,270,you have been warned.,4
13411,93,i hate this teacher.,4
14667,17,i never missed a class made a's b's and some c's in law school and i got a d with him.,2
13214,85,but she's happy to work with you.,1
13964,261,got me a passing grade.,23
717,122,great solid professor.,1
3250,16,the lectures are dry and boring.,1
18982,375,this is the best math professor i've ever had.,1
13054,327,he gives these crazy long exams and their so hard because he doesn't teach anything.,31
6518,382,i never went and got an a. his economics of sports class is pretty easy.,23
18277,150,he's a really good teacher.,4
5933,128,doesnt explain things well no comments on tests unfair grading.,12
2648,233,[instructor] is a great professor!,14
17265,57,attending every class and doing all the homeworks and you'll be good.,32
817,231,worth taking if you're interested in hebrew he's not the best,13
18487,185,before i took her clss i was making so many grammar mistakes but she helpe and i improved a lot,1
12708,155,he will make you either laugh or cry.,4
19941,178,highlightunderline the ones that he says will be on the test.,31
19957,109,all i have 2 say is se xxxxx yyyyyyy!!!,4
13964,254,she loves physics.,4
16754,0,love [instructor]!,4
10736,29,which is the why you pay to go to school right?,4
2648,235,he gives a good bit of homework but it all helps for the exams that he gives.,123
8096,164,if you want a clear teacher go somewhere else the first thing he asks people in the class is if they have a learning disability not taking credit for his lack of a teaching ability or vagueness on what we are going to do i never had a class that basically is guess what the test will be on no examples whatsoever,31
7471,210,she was very relatable and understanding.,12
19992,106,his parasitology class is a lot of work but he makes it extremely interesting.,13
2501,345,no deadlines for homework.,3
10355,325,don't expect an easy class,3
2626,64,you'll learn more from [instructor] and will enjoy his classes even the 8 am class.,1
19992,107,offers ec.,4
3365,199,he makes you write three 10 page papers that are worth 75 percent of your grade and participation is worth 25 percent.,23
11262,66,he's funny.,4
11262,68,some of the test questions sucked like the which is bigger problems.,3
3365,198,it's obvious that [instructor] is very intelligent in this field but this is by far the worst class that i have taken at nyu.,13
9276,206,[instructor] as a lab teacher sucks though.,14
5177,301,excellent,4
12759,142,take it!,4
12708,154,this guy is something!,4
13411,87,she's very hard teacher.,3
4744,115,most assignments seem unplanned and on the spot most days.,13
13387,12,however you only need to end up with 70 percent clicker to get 100 percent so you can miss a good amount.,23
18487,183,she gives a lot of work but it is for your own good.,3
532,43,he will also try and scare you out of his class in the beginning but don't be fooled.,4
10355,322,his class is how any college course should be.,1
7091,222,she hates people who are slackers sleeps in class or texts in class.,34
17265,56,the atmosphere in class is great.,1
10253,354,the labs take three hours and the lab itself three hours which is a little bit long.,3
4747,22,overall she is a decent teacher but there are some problems.,14
7111,288,this guy is hilarious!,4
13010,100,all you have to do is show up to his class and listen.,31
16754,3,you'll be fine.,4
6341,81,he is an amazing professor and you have to take a class with him.,41
9491,112,and the assignments and readings she gives are not easy!,3
551,360,he's my favorite a and p professor i've had so far.,4
4389,265,she is open to questions.,1
10355,324,the point of the class is to understand our government and as long as you show up review your notes and prepare for class you will succeed in that and it will be interesting.,13
2352,342,end of the semester projects are extremely valuable!,13
18487,182,she cares about her students a lot.,4
1150,36,even so the class is super easy.,3
1179,133,well i must say [instructor] is a nice guy.,4
8097,191,he gets bored with his own lectures and dismisses class early.,31
17849,293,his first test was 9 chapters long.,3
13010,98,honestly he's a great professor.,1
3365,200,it is basically impossible to get an a. he leaves rude comments that make you feel horrible.,13
6954,196,she is fair to students but has little patience if you don't understand what she is explaining or if you are taking too long in lab.,12
14667,18,i was all a's prior to law school but i cared a little less in law school.,4
19231,384,he is an amazingly cool guy.,4
6341,77,i loved [instructor].,4
6358,217,i took this course online over j term,3
3008,333,professor [instructor] is definitely one of the best profs at [institution].,1
6954,197,for someone who is starting back to college after 20 years out she's a tough teacher to start off with,3
532,44,only if you are willing to attend should you take this class.,3
18982,377,now i got an a on her class.,2
14667,19,this class held my attention though.,1
18982,380,i would take her again.,4
12708,157,i guess too cause if you read book and notes u'll be fine.,2
16136,304,she gives random participation days and takes attendance every day.,2
4389,266,pain in the neck about open toed shoes in lab and attendance in both classes.,3
17265,54,i took eng26 with him.,4
16473,281,we always got off topic,1
17265,59,now i am taking 28 and getting a.,2
2161,136,never responded to emails and never explained himself.,1
15652,366,awesome teacher.,4
19070,277,she will repeat the lesson again and even review before going onto the next lesson.,1
2079,50,take him if you have a very difficult time with numbers.,31
15818,131,also teaches some of the history of mathematics this is extra knowledge that is hard to find anywhere.,1
10736,32,definitely would recommend!,4
2352,341,those who choose to just show up will never get anything out of her classes.,31
18277,151,tests are just the midterm and final,23
13054,328,if your an accouting major at [institution] you should do something else because he teaches alot of the courses its horrible,1
3008,329,this class probably gave me the most anxiety.,3
8439,189,he also curves tests quizzes slightly.,2
18487,184,i've learned a lot in her class and i am really thankfull for that.,1
3008,332,final is 35 percent.,2
10253,351,doesn't give you enough time to do the write up.,3
5711,224,best professor.,1
3121,244,one of the best at [institution].,14
9491,110,her online class is horribly confusing!,13
6341,79,his passion for teaching makes you want to be in class.,1
1150,35,he uses examples that are not thought out and you could argue that all choices on his multiple choice questions are correct.,12
13010,101,what he teaches in class is whats gonna be on the test.,123
4462,251,i love that she uses schoology for the class setup it is a million times better than d2l.,1
8097,193,he tries to tell jokes i don't think he realizes we're laughing at him not with him but whatever.,4
2501,347,very responsive if you need help!,1
2079,46,i got a b!!!,2
2921,302,he was amazingggggggg,4
717,125,doctor [instructor] is super knowledge and has tons of experience.,1
13964,259,and i think i got 85 percent.,2
4744,116,there are no power points provided and you're basically on your own.,13
11502,315,hard to understand and does not care whether you get the material or not.,12
19526,311,well i'm right in the middle of something,4
12953,76,would definitely recommend taking the class.,4
14175,163,an easy a. talk to her she will be more willing to help if she knows your name.,13
9818,144,she cares about the subject matter the students and is up to date with current facts and knowledge.,12
4747,26,however she is very nice and approachable and is willing to help when needed.,1
13964,253,[instructor] is such a nice professor.,1
16136,305,reports are easy as long as you skim the material.,3
19941,177,come to class and write down everything he says.,13
10802,171,18th and 19th century british literature by far the best professor i've had at [institution].,1
12438,373,[instructor] is a good professor.,1
4747,25,also she tends to babble quite a bit and talks endlessly.,14
10802,172,she inspires you to think critically with t and t's which are extremely but essential in making you think deeply about the topic.,1
11502,317,do not recommend.,4
18974,335,this is the thing.,4
18596,73,avoid her at all costs,4
12953,74,very nice teacher.,1
18278,121,i highly recommend taking this class.,4
4747,23,she is unclear about what she expects from assignments.,12
12759,141,you'll be surprised how much you learn.,1
15818,130,best math teacher i ever had.,1
13411,89,she doesn't help at all.,1
3008,331,this class is composed of 4 quizzes.,3
4389,263,i hated her at first but as time passed by i began to like her.,4
1419,202,doesnt explain very well... was offended when asked to spend more time on topics,1
2919,286,i love this teacher.,4
14175,160,i took the same class in high school.,43
15652,371,always posts his lectures and really wants you to learn and love bio as much as he does!,1
717,123,people complain about the electronic journals but c'mon all he is asking you to do is write a response to a specific question he asks about the reading in 5 7 sentences.,13
19526,310,she'll say something along the lines of,4
3008,334,my anxiety probably had to do with the fact that i was a 1st year student at that time but it also did not help having the lecture friday evenings,3
6358,216,doctor [instructor] is the man!,4
13214,82,i took this class freshman year and it was super challenging but really interesting.,3
10355,323,he is very passionate about his subject and demonstrates so much knowledge.,1
532,42,otherwise the tests will be more difficult than they have to be and you won't understand his lectures as easily.,13
16754,1,my favorite teacher by far.,4
2079,49,professor [instructor] is very helpful!,1
18596,71,professor [instructor] is one of the rudest professors at [institution]!,1
16473,280,she only reads the definitions from the book.,1
19941,179,print out the class lecture notes instead of copying it from the screen.,31
1043,362,he puts up detailed lecture notes on blackboard.,1
15652,370,but i would take him again in a heartbeat.,1
532,40,reading.,4
2352,340,any class with mrs [instructor] is valuable as long as you dig into things with her and believe in her.,13
5933,129,worst professor ever,1
19941,176,midterm and final are both open notebook and book.,23
15652,368,knows his stuff and likes the material.,1
5729,113,great teacher,1
9818,146,her tests aren't that hard and it's easy to pass if you try.,3
15652,369,bio is work,3
16473,283,very opinionated.,4
4389,268,i went from failing her class to getting a b.,2
16473,285,don't take her!!,4
3121,245,it is con law so it ain't easy but he does a great job of explaining difficult and complex topics.,13
14667,21,consider yourself warned.,4
9818,145,i would highly recommend her.,4
8840,307,his test questions are written in a very convoluted way which makes his test questions harder.,13
18982,378,she is clear teaches step by step gives lots of extra credit and gives an online review before every test.,21
532,41,you must.,4
18516,148,professor [instructor] is hilarious.,4
1043,364,try to read the textbook read the summary section at least.,3
19617,239,not helpful not nice rude not good.,14
4389,267,she is friendly and cares for her students.,41
1043,363,he does his best to help the students.,1
18278,119,[instructor] is a very clear professor and is always there for students.,1
7170,215,i have learned and retained more from his teachings.,1
13387,9,this class is an easy a if you do well on the lecture exams which can be sort of difficult if you dont study.,13
19070,276,she is very patient and the way she teaches is in a manner that even the slowest leaner can understand.,31
11262,67,you ave group work which was fun and helpful.,13
14175,159,well the class was so easy mostly b c,23
7091,223,if you dont do that then you should be fine!!,4
15462,237,also taking his nazi germany class,4
2079,48,for the first time in my life i understood math.,1
7170,214,and i learn more from him than i do with the cds.,1
6967,153,they are due the next class meeting,3
7111,289,i just finished a semester with him.,4
